Measurement type,Year,Month,Day,Hour,Minute,Second,Zero A/D,Current A/D,CO2,IRGA temperature,Humidity,Humidity sensor temperature,Cell gas pressure,Battery voltage
%s,%4.0f,%2.0f,%2.0f,%2.0f,%2.0f,%2.0f,%5.0f,%5.0f,%03.02f,%02.1f,%02.2f,%02.2f,%04d,%02.1f
W M,2023,05,12,03,01,18,54396,49276,739.44,45.00,8.60,21.70,0987,11.6
W M,2023,05,12,03,11,22,54396,49324,728.60,45.00,8.60,21.70,0988,11.5
W M,2023,05,12,03,21,27,54396,49393,714.95,45.00,8.60,21.70,0988,11.5
W M,2023,05,12,03,31,32,54396,49418,709.85,45.00,8.60,21.70,0988,11.5
W M,2023,05,12,03,41,37,54396,49442,705.29,45.00,8.60,21.70,0988,11.5
W M,2023,05,12,03,51,41,54396,49503,693.36,45.00,8.60,21.70,0988,11.5
W M,2023,05,12,04,02,38,54405,49673,661.36,45.00,8.50,21.60,0989,11.5
W M,2023,05,12,04,12,43,54405,49557,683.83,45.00,8.50,21.60,0989,11.6
W M,2023,05,12,04,22,48,54405,49536,688.05,45.00,8.60,21.70,0989,11.6
W M,2023,05,12,04,32,52,54405,49596,677.28,45.00,8.60,21.60,0988,11.5
W M,2023,05,12,04,42,57,54405,49623,672.52,45.00,8.60,21.60,0988,11.5
W M,2023,05,12,04,53,02,54405,49637,669.44,45.00,8.60,21.70,0988,11.6
W M,2023,05,12,05,03,07,54405,49615,672.85,45.00,8.60,21.70,0989,11.6
W M,2023,05,12,05,13,11,54405,49628,670.59,45.00,8.60,21.70,0989,11.6
W M,2023,05,12,05,23,16,54405,49631,669.71,45.00,8.60,21.70,0989,11.5
W M,2023,05,12,05,33,21,54405,49636,667.76,45.00,8.60,21.70,0990,11.5
W M,2023,05,12,05,43,26,54405,49683,658.79,45.00,8.60,21.70,0990,11.5
W M,2023,05,12,05,53,30,54405,49698,655.71,45.00,8.60,21.70,0990,11.5
W M,2023,05,12,06,03,35,54405,49768,641.97,45.00,8.60,21.70,0991,11.6
W M,2023,05,12,06,13,40,54405,49742,646.67,45.00,8.60,21.70,0991,11.5
W M,2023,05,12,06,23,44,54405,49754,644.04,45.00,8.60,21.70,0992,11.5
W M,2023,05,12,06,33,49,54405,49733,647.75,45.00,8.60,21.70,0992,11.6
W M,2023,05,12,06,43,54,54405,49748,644.69,45.00,8.60,21.70,0992,11.5
W M,2023,05,12,06,53,59,54405,49693,654.79,45.00,8.60,21.70,0992,11.6
W M,2023,05,12,07,04,03,54405,49666,660.03,45.00,8.60,21.70,0992,11.6
W M,2023,05,12,07,14,08,54405,49700,654.29,45.00,8.60,21.70,0992,11.6
W M,2023,05,12,07,24,13,54405,49729,648.41,45.00,8.60,21.70,0992,11.5
W M,2023,05,12,07,34,18,54405,49745,647.42,45.00,8.60,21.70,0990,11.5
W M,2023,05,12,07,44,22,54405,49760,644.80,45.00,8.60,21.70,0990,11.6
W M,2023,05,12,07,54,27,54405,49719,652.45,45.00,8.60,21.70,0990,11.6
W M,2023,05,12,08,04,32,54405,49747,646.63,45.00,8.60,21.70,0990,11.5
W M,2023,05,12,08,14,37,54405,49720,651.86,45.00,8.60,21.70,0990,11.5
W M,2023,05,12,08,24,41,54405,49758,644.14,45.00,8.60,21.70,0991,11.5
W M,2023,05,12,08,34,46,54405,49747,645.72,45.00,8.60,21.70,0991,11.5
W M,2023,05,12,08,44,51,54405,49738,646.82,45.00,8.60,21.70,0992,11.5
W M,2023,05,12,08,54,55,54405,49759,643.00,45.00,8.60,21.70,0992,11.5
W M,2023,05,12,09,05,00,54405,49767,641.18,45.00,8.60,21.80,0992,11.5
W M,2023,05,12,09,15,05,54405,49756,642.62,45.00,8.60,21.80,0993,11.6
W M,2023,05,12,09,25,10,54405,49727,648.03,45.00,8.60,21.80,0993,11.5
W M,2023,05,12,09,35,14,54405,49734,646.41,45.00,8.60,21.80,0993,11.5
W M,2023,05,12,09,45,19,54405,49730,647.90,45.00,8.60,21.80,0992,11.5
W M,2023,05,12,09,55,24,54405,49786,639.11,45.00,8.60,21.80,0990,11.6
W M,2023,05,12,10,06,21,54406,49794,637.74,45.00,8.60,21.80,0991,11.6
W M,2023,05,12,10,16,25,54406,49788,638.65,45.00,8.60,21.90,0991,11.6
W M,2023,05,12,10,26,30,54406,49765,642.83,45.00,8.60,21.90,0991,11.5
W M,2023,05,12,10,36,35,54406,49691,656.47,45.00,8.60,21.80,0991,11.5
W M,2023,05,12,10,46,40,54406,49651,664.22,45.00,8.60,21.90,0991,11.6
W M,2023,05,12,10,56,44,54406,49642,666.70,45.00,8.60,21.90,0990,11.6
W M,2023,05,12,11,06,49,54406,49691,657.43,45.00,8.60,21.90,0990,11.6
W M,2023,05,12,11,16,54,54406,49732,649.53,45.00,8.60,21.90,0990,11.6
W M,2023,05,12,11,26,59,54406,49771,641.59,45.00,8.60,21.90,0991,11.5
W M,2023,05,12,11,37,03,54406,49747,646.19,45.00,8.70,21.90,0991,11.4
W M,2023,05,12,11,47,08,54406,49720,650.66,45.00,8.60,21.90,0992,11.6
W M,2023,05,12,11,57,13,54406,49684,657.57,45.00,8.60,21.90,0991,11.6
W M,2023,05,12,12,07,18,54406,49692,655.50,45.00,8.60,21.90,0992,11.5
W M,2023,05,12,12,17,22,54406,49675,658.24,45.00,8.70,21.90,0993,11.6
W M,2023,05,12,12,27,27,54406,49630,666.98,45.00,8.60,21.90,0992,11.6
W M,2023,05,12,12,37,32,54406,49650,663.11,45.00,8.60,21.90,0992,11.5
W M,2023,05,12,12,47,37,54406,49658,662.21,45.00,8.60,21.80,0992,11.5
W M,2023,05,12,12,57,42,54406,49706,652.81,45.00,8.60,21.80,0992,11.6
W M,2023,05,12,13,07,46,54406,49683,656.78,45.00,8.60,21.80,0992,11.5
W M,2023,05,12,13,17,51,54406,49700,653.37,45.00,8.60,21.80,0993,11.4
W M,2023,05,12,13,27,56,54406,49639,664.32,45.00,8.60,21.80,0993,11.5
W M,2023,05,12,13,38,01,54406,49616,668.53,45.00,8.60,21.80,0993,11.6
W M,2023,05,12,13,48,05,54406,49579,674.77,45.00,8.60,21.80,0994,11.5
W M,2023,05,12,13,58,10,54406,49597,671.27,45.00,8.60,21.80,0994,11.5
W M,2023,05,12,14,08,15,54406,49642,662.23,45.00,8.60,21.70,0995,11.6
W M,2023,05,12,14,18,20,54406,49694,652.64,45.00,8.60,21.80,0995,11.6
W M,2023,05,12,14,28,24,54406,49669,657.22,45.00,8.60,21.80,0995,11.6
W M,2023,05,12,14,38,29,54406,49683,654.63,45.00,8.60,21.80,0995,11.4
W M,2023,05,12,14,48,34,54406,49642,662.92,45.00,8.60,21.70,0994,11.5
W M,2023,05,12,14,58,39,54406,49624,666.28,45.00,8.60,21.70,0994,11.5
W M,2023,05,12,15,08,44,54406,49600,672.10,45.00,8.60,21.70,0993,11.5
W M,2023,05,12,15,18,48,54406,49642,663.87,45.00,8.60,21.80,0993,11.6
W M,2023,05,12,15,28,53,54406,49637,664.99,45.00,8.60,21.80,0993,11.6
W M,2023,05,12,15,38,58,54406,49657,660.70,45.00,8.60,21.70,0994,11.5
W M,2023,05,12,15,49,03,54406,49655,660.78,45.00,8.60,21.70,0994,11.5
W M,2023,05,12,15,59,07,54406,49636,663.79,45.00,8.60,21.70,0995,11.6
W M,2023,05,12,16,10,04,54405,49615,667.34,45.00,8.60,21.70,0995,11.5
W M,2023,05,12,16,20,09,54405,49601,670.31,45.00,8.60,21.70,0994,11.6
W M,2023,05,12,16,30,14,54405,49654,660.00,45.00,8.60,21.70,0995,11.6
W M,2023,05,12,16,40,19,54405,49647,660.71,45.00,8.60,21.70,0995,11.5
W M,2023,05,12,16,50,23,54405,49653,659.55,45.00,8.60,21.70,0995,11.6
W M,2023,05,12,17,00,28,54405,49611,667.15,45.00,8.60,21.70,0996,11.4
W M,2023,05,12,17,10,33,54405,49604,668.98,45.00,8.60,21.70,0995,11.5
W M,2023,05,12,17,20,38,54405,49608,668.87,45.00,8.60,21.70,0995,11.6
W M,2023,05,12,17,30,42,54405,49618,668.14,45.00,8.60,21.70,0993,11.6
W M,2023,05,12,17,40,47,54405,49642,663.52,45.00,8.60,21.70,0993,11.5
W M,2023,05,12,17,50,52,54405,49632,664.78,45.00,8.60,21.70,0994,11.6
W M,2023,05,12,18,00,57,54405,49620,667.01,45.00,8.60,21.70,0994,11.4
W M,2023,05,12,18,11,02,54405,49703,651.81,45.00,8.60,21.70,0994,11.5
W M,2023,05,12,18,21,06,54405,49719,648.45,45.00,8.60,21.70,0994,11.5
W M,2023,05,12,18,31,11,54405,49713,649.20,45.00,8.60,21.70,0994,11.6
W M,2023,05,12,18,41,16,54405,49666,657.88,45.00,8.60,21.70,0995,11.5
W M,2023,05,12,18,51,21,54405,49719,647.83,45.00,8.60,21.70,0995,11.6
W M,2023,05,12,19,01,25,54405,49643,662.21,45.00,8.60,21.80,0995,11.5
W M,2023,05,12,19,11,30,54405,49578,674.33,45.00,8.60,21.80,0995,11.6
W M,2023,05,12,19,21,35,54405,49570,675.36,45.00,8.60,21.80,0995,11.6
W M,2023,05,12,19,31,39,54405,49577,673.55,45.00,8.70,21.80,0996,11.5
W M,2023,05,12,19,41,44,54405,49599,668.94,45.00,8.70,21.80,0996,11.6
W M,2023,05,12,19,51,49,54405,49628,663.59,45.00,8.70,21.80,0996,11.6
W M,2023,05,12,20,01,54,54405,49648,659.91,45.00,8.70,21.80,0996,11.5
W M,2023,05,12,20,11,58,54405,49627,663.57,45.00,8.70,21.80,0996,11.5
W M,2023,05,12,20,22,03,54405,49613,665.84,45.00,8.70,21.80,0997,11.5
W M,2023,05,12,20,32,08,54405,49644,660.22,45.00,8.70,21.80,0996,11.6
W M,2023,05,12,20,42,13,54405,49651,659.86,45.00,8.60,21.70,0995,11.6
W M,2023,05,12,20,52,17,54405,49681,654.49,45.00,8.70,21.70,0995,11.5
W M,2023,05,12,21,02,22,54405,49656,659.39,45.00,8.60,21.70,0995,11.5
W M,2023,05,12,21,12,27,54405,49684,654.81,45.00,8.60,21.70,0994,11.5
W M,2023,05,12,21,22,32,54405,49688,653.57,45.00,8.60,21.70,0995,11.4
W M,2023,05,12,21,32,36,54405,49691,654.28,45.00,8.60,21.70,0993,11.5
W M,2023,05,12,21,42,41,54405,49690,654.52,45.00,8.60,21.70,0993,11.5
W M,2023,05,12,21,52,46,54405,49659,659.57,45.00,8.60,21.70,0994,11.4
W M,2023,05,12,22,03,43,54409,49738,645.19,45.00,8.60,21.70,0995,11.6
W M,2023,05,12,22,13,48,54409,49650,661.74,45.00,8.60,21.70,0994,11.6
W M,2023,05,12,22,23,52,54409,49657,660.06,45.00,8.60,21.70,0995,11.5
W M,2023,05,12,22,33,57,54409,49685,654.33,45.00,8.60,21.70,0995,11.6
W M,2023,05,12,22,44,02,54409,49797,633.43,45.00,8.60,21.70,0995,11.5
W M,2023,05,12,22,54,07,54409,49779,636.43,45.00,8.60,21.70,0996,11.6
W M,2023,05,12,23,04,12,54409,49651,660.16,45.00,8.60,21.70,0996,11.5
W M,2023,05,12,23,14,16,54409,49562,676.87,45.00,8.60,21.60,0996,11.6
W M,2023,05,12,23,24,21,54409,49546,679.78,45.00,8.60,21.70,0996,11.6
W M,2023,05,12,23,34,26,54409,49519,684.66,45.00,8.60,21.70,0996,11.6
