HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;
CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;
Date;Time;p_NDIR;p_in;Signal_raw;Signal_ref;T_sensor;Signal_proc;Conc_estimate;Concentration;T_control;T_gas;%rH_gas;
-;-;mbar;mbar;digits;digits;LSB;digits;digits;µmol/L;°C;°C;%;
2023-07-13;17:36:35;988.94;988.31;10887;872;0;7000;14429;14.073;21.294;18.489;42.16;
2023-07-13;17:36:36;989.34;988.25;10887;872;0;7000;14240;13.888;21.309;18.489;42.448;
2023-07-13;17:36:37;989.45;988.34;10887;872;0;7000;14460;14.104;21.335;18.489;42.672;
2023-07-13;17:36:38;988.93;988.3;10887;872;0;7000;14090;13.743;21.339;18.499;42.929;
2023-07-13;17:36:39;988.97;988.19;10887;872;0;7000;14589;14.228;21.357;18.499;43.185;
2023-07-13;17:36:40;989.08;988.34;10887;872;0;7000;14280;13.928;21.373;18.48;43.438;
2023-07-13;17:36:41;989.34;988.36;10887;872;0;7000;14210;13.86;21.375;18.48;43.438;
2023-07-13;17:36:42;989.44;988.47;10887;872;0;7000;14349;13.998;21.39;18.48;43.661;
2023-07-13;17:36:43;989.2;988.54;10887;872;0;7000;13950;13.609;21.393;18.489;43.885;
2023-07-13;17:36:44;989.41;988.41;10887;872;0;7000;14110;13.764;21.402;18.489;44.14;
2023-07-13;17:36:45;989.07;988.49;10887;872;0;7000;14009;13.666;21.441;18.489;44.331;
2023-07-13;17:36:46;989.59;988.49;10887;872;0;7000;14330;13.979;21.428;18.489;44.331;
2023-07-13;17:36:47;989.75;988.72;10887;872;0;7000;13849;13.513;21.448;18.489;44.554;
2023-07-13;17:36:48;989.47;988.78;10887;872;0;7000;13950;13.613;21.478;18.48;44.775;
2023-07-13;17:36:49;989.92;988.95;10887;872;0;7000;13670;13.342;21.458;18.489;44.967;
2023-07-13;17:36:50;989.92;989.08;10887;872;0;7000;14280;13.939;21.487;18.499;45.222;
2023-07-13;17:36:51;989.71;989.13;10887;872;0;7000;14019;13.685;21.503;18.48;45.41;
2023-07-13;17:36:52;990.48;989.33;10887;872;0;7000;13769;13.443;21.507;18.48;45.41;
2023-07-13;17:36:53;989.96;989.27;10887;872;0;7000;13900;13.571;21.505;18.48;45.632;
2023-07-13;17:36:54;990.36;989.23;10887;872;0;7000;13599;13.276;21.53;18.499;45.856;
2023-07-13;17:36:55;990.37;989.3;10887;872;0;7000;13639;13.316;21.53;18.499;46.014;
2023-07-13;17:36:56;990.03;989.35;10887;872;0;7000;13820;13.494;21.538;18.489;46.203;
2023-07-13;17:36:57;990.25;989.37;10887;872;0;7000;14150;13.816;21.569;18.499;46.394;
2023-07-13;17:36:58;990.11;989.41;10887;872;0;7000;13849;13.523;21.564;18.499;46.394;
2023-07-13;17:36:59;990.44;989.42;10887;872;0;7000;13830;13.504;21.571;18.48;46.55;
2023-07-13;17:37:00;990.19;989.39;10887;872;0;7000;13740;13.416;21.599;18.499;46.742;
2023-07-13;17:37:01;989.92;989.37;10887;872;0;7000;13969;13.639;21.611;18.499;46.963;
2023-07-13;17:37:02;990.59;989.55;10887;872;0;7000;13700;13.379;21.599;18.499;47.12;
2023-07-13;17:37:03;990.52;989.42;10887;872;0;7000;13889;13.562;21.62;18.489;47.277;
2023-07-13;17:37:04;990.08;989.44;10887;872;0;7000;13969;13.64;21.627;18.489;47.277;
2023-07-13;17:37:05;990.4;989.55;10887;872;0;7000;13840;13.516;21.652;18.489;47.434;
2023-07-13;17:37:06;990.48;989.53;10887;872;0;7000;13929;13.602;21.656;18.499;47.625;
2023-07-13;17:37:07;990.3;989.61;10887;872;0;7000;13790;13.468;21.644;18.489;47.812;
2023-07-13;17:37:08;990.62;989.64;10887;872;0;7000;13910;13.585;21.671;18.489;47.969;
2023-07-13;17:37:09;990.81;989.71;10887;872;0;7000;14059;13.732;21.665;18.489;48.158;
2023-07-13;17:37:10;990.28;989.77;10887;872;0;7000;14059;13.733;21.683;18.489;48.158;
2023-07-13;17:37:11;990.47;989.74;10887;872;0;7000;14059;13.732;21.697;18.48;48.251;
2023-07-13;17:37:12;990.43;989.86;10887;872;0;7000;14059;13.734;21.692;18.509;48.444;
2023-07-13;17:37:13;990.93;990.04;10887;872;0;7000;14049;13.727;21.72;18.499;48.599;
2023-07-13;17:37:14;991.1;990.23;10887;872;0;7000;14049;13.729;21.739;18.489;48.723;
2023-07-13;17:37:15;990.82;990.19;10887;872;0;7000;13990;13.671;21.736;18.489;48.723;
2023-07-13;17:37:16;991.17;990.15;10887;872;0;7000;13990;13.671;21.751;18.489;48.88;
2023-07-13;17:37:17;991.26;990.19;10887;872;0;7000;13990;13.671;21.757;18.48;49.004;
2023-07-13;17:37:18;990.95;990.15;10887;872;0;7000;13990;13.671;21.762;18.499;49.195;
2023-07-13;17:37:19;990.81;990.27;10887;872;0;7000;13990;13.672;21.751;18.499;49.32;
2023-07-13;17:37:20;991.37;990.44;10887;872;0;7000;14429;14.104;21.785;18.499;49.446;
2023-07-13;17:37:21;991.55;990.52;10887;872;0;7000;14429;14.105;21.788;18.499;49.446;
